Vegetable_Type,Total_Records,Outlier_Count,Outlier_Percentage,Lower_Bound,Upper_Bound,Max_Price_Found
GREEN CHILLIES,5096,196,3.85,-200.0,840.0,1400.0
LEEKS,5096,186,3.65,-16.0,304.0,482.0
TOMATOES,5096,148,2.9,-36.66,273.86,420.0
GREEN BEANS,5096,122,2.39,6.0,342.0,500.0
BEETROOT,5096,110,2.16,-19.0,277.0,465.0
CARROT,5096,107,2.1,-8.85,365.31,470.0
BRINJALS,5096,100,1.96,-19.57,229.95,448.0
PUMPKIN,5096,93,1.82,0.5,172.5,228.0
LADIES FINGERS,5096,52,1.02,1.97,206.82,324.0
ASH PLANTAINS,5096,19,0.37,24.48,177.31,200.0
CABBAGE,5096,8,0.16,-27.0,253.0,308.0
SNAKE GOURD,5096,8,0.16,-15.0,238.33,296.0
